name,quadrant,ring,isNew,description,,,
SonarQube,Verktyg,Tillämpa,TRUE,"Automatisk kodanalys för att se tekniskt skuld, testtäckning, möjliga buggar och för stora klasser, mm",,,
.NET Core,Plattform,Utvärdera,TRUE,,,,
MS SQL Server,Plattform,Utvärdera,TRUE,,,,
TensorFlow,Plattform,Utvärdera,TRUE,Ramverk för AI/ML,,,
Java 13,Språk,Utvärdera,TRUE,,,,
GraphQL,Språk,Utvärdera,TRUE,,,,
Quarkus,Språk,Utvärdera,TRUE,,,,
AI/ML,Verktyg,Utvärdera,TRUE,,,,
BPM,Verktyg,Utvärdera,TRUE,,,,
Chaos Engineering,Verktyg,Utvärdera,TRUE,Injicera randomiserade problem i produktionsmiljö,,,
Consumer-Driven Contract Testing,Verktyg,Utvärdera,TRUE,,,,
DevSecOps,Verktyg,Utvärdera,TRUE,,,,
Service Mesh,Verktyg,Utvärdera,TRUE,Konfigurerbar infrastruktur för Microservices,,,
WireMock,Verktyg,Utvärdera,TRUE,Verktyg för att mocka REST-APIer via JSON-konfiguration,,,
GoCD,Verktyg,Prova,TRUE,Byggserver för CI/CD,,,
Matomo,Verktyg,Prova,TRUE,"Analysverkyg för webbapplikationer liknande Google Analytics, men med möjlighet att köra in-house.",,,
Cobol,Språk,Avvakta,TRUE,Programmeringsspåk för stordator,,,
SAFe by the book,Arbetssätt/Metod,Avvakta,TRUE,Ett stort paket med metder för att hantera beroenden mellan team och utvecklingsinsatser i stora organisationer,,,
"Projektledning, traditionell",Arbetssätt/Metod,Avvakta,TRUE,,,,
JMS/SOAP,Plattform,Avvakta,TRUE,Protokoll för kommunikation via meddelandebuss,,,
SOAP,Plattform,Avvakta,TRUE,Format för strukturering av XML för användning t ex via webbservices eller meddelandebuss,,,
JSF,Plattform,Avvakta,TRUE,,,,
Low-code plattformar,Plattform,Avvakta,TRUE,,,,
Oracle,Plattform,Avvakta,TRUE,Databas,,,
ORM,Plattform,Avvakta,TRUE,"Verktyg för att mappa relationsdatabaser i kod, t ex Hibernate och Eclipselink",,,
Weblogic Server,Plattform,Avvakta,TRUE,Applikationsserver för att drifta Java-applikationer,,,
WebSphere,Plattform,Avvakta,TRUE,Applikationsserver för att drifta Java-applikationer,,,
EJB,Språk,Avvakta,TRUE,,,,
Java 8,Språk,Avvakta,TRUE,På grund av miljö är man ibland tvungen att välja Java 8,,,
DB-länkar,Verktyg,Avvakta,TRUE,,,,
ETE,Verktyg,Avvakta,TRUE,Häxkonst för testdata,,,
FitNesse,Verktyg,Avvakta,TRUE,Ett testverktyg för automatisering av tester,,,
Selenium,Verktyg,Avvakta,TRUE,"Ett verktyg för att programmatiskt köra webbapplikationer, t ex vid automatisering av tester",,,
Puppet,Verktyg,Avvakta,TRUE,Ett verktyg för att på ett automatiserat sätt installera och konfigurera servrar.,,,
Subversion,Verktyg,Avvakta,TRUE,,,,
.NET Framework,Plattform,Avvakta,TRUE,,,,
